Add to Cart,Adicionar ao carrinho,
Add to Quote,Adicionar ao carrinho,
View in Cart,Ver no carrinho,
View in Quote,Ver no carrinho,
Go to Cart,Ver no carrinho,
Go to Quote,Ver no carrinho,
Recommended,Recomendado,
In stock,Em estoque,
Out of stock,Fora de estoque,
Available on backorder,Disponível sob consulta,
Move to Cart,Mover para o carrinho,
Clear All,Limpar filtros,
Search for Products,Buscar produtos,
Payment Summary,Resumo do Pagamento,
Request for Quote,Solicitar Orçamento,
Past Quotes,Orçamentos Anteriores,
Continue Shopping,Continuar Comprando,
Net Total (,Total Líquido (,
 Items), itens),
See past quotations,Veja orçamentos anteriores,
Rate:,Preço unitário:,
There's nothing here,Não encontramos esta página,
The page you are looking for has gone missing.,A página que você está procurando não existe ou foi removida.,
Wishlist,Lista de Desejos,
No Reviews,Sem avaliações,
Customer Reviews,Avaliações de Clientes,
Write a Review,Escrever uma Avaliação,
View all reviews,Ver todas as avaliações,
View More,Ver Mais,
Select Variant,Selecionar Variante,
Product Details,Detalhes do Produto,
Overall Rating,Avaliação Geral,
Your Review,Sua Avaliação,
Review Submitted,Avaliação Enviada,
Headline,Título,
FREE,GRÁTIS,
Cart is Empty,Carrinho vazio,
Item Code,Código do Item,
Reset the password for your account,Redefinir a senha da sua conta,
Manage third party apps,Gerenciar aplicativos de terceiros,
To manage your authorized third party apps,Para gerenciar os aplicativos de terceiros autorizados,
Manage your apps,Gerenciar seus aplicativos,
Request Account Deletion,Solicitar Exclusão da Conta,
Send a request to delete your account,Enviar uma solicitação para excluir sua conta,
Delete Account,Excluir Conta,
Date,Data,
Selected time,Horário selecionado,
Service mode,Atendimento,
Complete your registration,Complete seu cadastro,
Full name,Nome completo,
Date of birth,Data de nascimento,
Mobile / WhatsApp,Celular / WhatsApp,
Gender,Sexo,
Receive the code by,Receber o código por,
6-digit code,Código de 6 dígitos,
I already have an account,Já tenho conta,
This appointment is for someone else,A consulta é para outra pessoa,
Patient's name,Nome do paciente,
Patient's CPF,CPF do paciente,
Patient's date of birth,Nascimento do paciente,
Patient's gender,Sexo do paciente,
Categories,Categorias,
Explore,Explorar,
Prev,Anterior,
Next,Próximo,
Discounts,Descontos,
No products found,Nenhum produto encontrado,
Recent,Recentes,
Male,Masculino,
Female,Feminino,
Other,Outro,
"For home visits, the {0} fee is confirmed and charged by reception — this online booking does not charge it automatically yet.","No atendimento domiciliar, a taxa de {0} é confirmada e cobrada pela recepção — ainda não é cobrada automaticamente neste agendamento online.",
The code goes to the contact already ON FILE — not to what you type below.,O código vai para o contato JÁ cadastrado — não para o que você digitar abaixo.,
Minors can only be booked by a guardian — check this box and enter the patient's details.,Menor de 18 anos só pode ser agendado por um responsável — marque esta opção e informe os dados de quem vai ser atendido.,
The contact you confirm here is what opens/identifies your account — not the other field on the form.,O contato que você confirmar aqui é o que abre/identifica sua conta — não o outro campo do formulário.,
Today,Hoje,
Now,Agora,
